State,Marijuana Legal
Alabama,No
Alaska,Yes
Arizona,Yes
Arkansas,Yes
California,Yes
Colorado,Yes
Connecticut,Yes
Delaware,Yes
District of Columbia,Yes
Florida,Yes
Georgia,No
Hawaii,Yes
Idaho,No
Illinois,Yes
Indiana,No
Iowa,No
Kansas,No
Kentucky,No
Louisiana,No
Maine,Yes
Maryland,Yes
Massachusetts,Yes
Michigan,Yes
Minnesota,Yes
Mississippi,No
Missouri,Yes
Montana,Yes
Nebraska,No
Nevada,Yes
New Hampshire,Yes
New Jersey,Yes
New Mexico,Yes
New York,Yes
North Carolina,No
North Dakota,Yes
Ohio,Yes
Oklahoma,Yes
Oregon,Yes
Pennsylvania,Yes
Rhode Island,Yes
South Carolina,No
South Dakota,No
Tennessee,No
Texas,No
Utah,Yes
Vermont,Yes
Virginia,No
Washington,Yes
West Virginia,Yes
Wisconsin,No
Wyoming,No
